pressure_bar,component,equilibrium_loading_mol_kg
0.0007536903980898542,N2,0.00011114597790826
0.0007757545129612413,N2,0.00011439904752519869
0.0007984645497739086,N2,0.00011774730822679573
0.0008218394177456806,N2,0.00012119354422880134
0.00084589857965743,N2,0.0001247406211069063
0.0008706620680585126,N2,0.00012839148816979048
0.000896150501946605,N2,0.00013214918090112118
0.0009223851039358476,N2,0.00013601682347249262
0.0009493877179275829,N2,0.00013999763132934863
0.0009771808272983908,N2,0.0001440949138519897
0.0010057875736205835,N2,0.00014831207709382793
0.0010352317759307378,N2,0.00015265262659911225
0.0010655379505623054,N2,0.00015712017030240782
0.0010967313315588178,N2,0.0001617184215121804
0.0011288378916846883,N2,0.00016645120198090297
0.0011618843640511002,N2,0.00017132244506416744
0.0011958982643749793,N2,0.00017633619897135429
0.0012309079138896018,N2,0.0001814966301104892
0.0012669424629259062,N2,0.00018680802652998332
0.0013040319151841316,N2,0.00019227480146003187
0.001342207152716012,N2,0.00019790149695652557
0.0013814999616383224,N2,0.0002036927876504068
0.0014219430585991676,N2,0.00020965348460548098
0.0014635701180190797,N2,0.00021578853928778648
0.0015064158001295927,N2,0.00022210304764970381
0.0015505157798326253,N2,0.00022860225433207515
0.0015959067764047309,N2,0.00023529155698770134
0.0016426265840709304,N2,0.0002421765107296696
0.00169071410347358,N2,0.0002492628327080637
0.001740209374062485,N2,0.00025655640681870564
0.0017911536074332302,N2,0.00026406328854768144
0.001843589221641488,N2,0.0002717897099555011
0.0018975598765218504,N2,0.0002797420848048498
0.0019531105100406311,N2,0.00028792701383600146
0.0020102873757128856,N2,0.0002963512901940695
0.00206913808111479,N2,0.0003050219050123833
0.0021297116275234783,N2,0.00031394605315640447
0.0021920584507173256,N2,0.0003231311391327061
0.002256230462970635,N2,0.00033258478316766264
0.0023222810962777243,N2,0.000342314827460631
0.002390265346842392,N2,0.00035232934261652377
0.0024602398208697774,N2,0.000362636634262804
0.0025322627816987946,N2,0.0003732452498560815
0.0026063941983143473,N2,0.00038416398568360974
0.0026826957952797246,N2,0.00039540189406513375
0.002761231104130753,N2,0.00040696829076068176
0.002842065516274511,N2,0.00041887276259004226
0.0029252663374366447,N2,0.0004311251752698173
0.0030109028437025924,N2,0.00044373568147409423
0.003099046339199427,N2,0.00045671472912494493
0.0031897702154663216,N2,0.00047007306991911693
0.0032831500125630473,N2,0.0004838217680974397
0.003379263481967431,N2,0.000497972209463656
0.00347819065131413,N2,0.0005125361106595427
0.0035800138910285803,N2,0.0005275255287033648
0.0036848179829116765,N2,0.0005429528707988973
0.00379269019073225,N2,0.0005588309044224209
0.0039037203328860922,N2,0.0005751727676952832
0.004018000857182091,N2,0.0005919919800498198
0.004135626917817706,N2,0.0006093024531966157
0.004256696454607871,N2,0.0006271185024012808
0.004381310274533306,N2,0.0006454548580791261
0.004509572135676145,N2,0.0006643266777163281
0.004641588833612777,N2,0.0006837495581263775
0.0047774702903357735,N2,0.0007037395480508139
0.004917329645779016,N2,0.000724313161113485
0.005061283352022219,N2,0.000745487389137769
0.005209451270253212,N2,0.000767279715836426
0.005361956770568816,N2,0.0007897081308839846
0.00551892683469738,N2,0.0008127911443817907
0.005680492161728429,N2,0.0008365478017260654
0.005846787276937589,N2,0.000860997698889593
0.006017950643797334,N2,0.000886160998127866
0.00619412477926676,N2,0.0009120584441207633
0.0063754563724565064,N2,0.0009387113805611078
0.0065620964067675544,N2,0.0009661417672016708
0.006754200285605587,N2,0.0009943721973724492
0.0069519279617756054,N2,0.0010234259159803052
0.007155444070664574,N2,0.0010533268380033079
0.007364918067322966,N2,0.0010840995674923739
0.007580524367559262,N2,0.001115769417093049
0.007802442493165045,N2,0.0011483624281005734
0.008030857221391512,N2,0.001181905391061592
0.008265958738801813,N2,0.0012164258669361476
0.008507942799627445,N2,0.001251952208833875
0.008757010888760509,N2,0.0012885135843385615
